Vehicle,Timestamp,POS_X,POS_Y,POS_Z,VEL_X,VEL_Y,VEL_Z,Q_W,Q_X,Q_Y,Q_Z
Target,1766009168622,0.0,0.0,-2.3055808544158936,0.0,0.0,0.0030743018724024296,-0.05693456903100014,0.0,0.0,-0.9983779191970825
Chaser,1766009168753,0.0,0.0,-1.3874720335006714,0.0,0.0,-0.2928072214126587,0.18904994428157806,0.0,0.0,-0.9819675087928772
Target,1766009168753,0.0,0.0,-2.305467128753662,0.0,0.0,0.0027609504759311676,-0.0534738153219223,0.0,0.0,-0.9985692501068115
Chaser,1766009168813,0.0,0.0,-1.4005323648452759,0.0,0.0,-0.2888931632041931,0.18993961811065674,0.0,0.0,-0.9817957878112793
Target,1766009168813,0.0,0.0,-2.3053503036499023,0.0,0.0,0.0024305095430463552,-0.04972726106643677,0.0,0.0,-0.998762845993042
Chaser,1766009168874,0.0,0.0,-1.411805272102356,0.0,0.0,-0.2895696759223938,0.1905897557735443,0.0,0.0,-0.9816697835922241
Target,1766009168874,0.0,0.0,-2.3052608966827393,0.0,0.0,0.0021695371251553297,-0.04666133597493172,0.0,0.0,-0.9989108443260193
Chaser,1766009168941,0.0,0.0,-1.4196419715881348,0.0,0.0,-0.29099732637405396,0.19098332524299622,0.0,0.0,-0.9815933108329773
Target,1766009168941,0.0,0.0,-2.3051917552948,0.0,0.0,0.002787630306556821,-0.044226717203855515,0.0,0.0,-0.9990215301513672
Chaser,1766009169006,0.0,0.0,-1.4301607608795166,0.0,0.0,-0.29344841837882996,0.19144539535045624,0.0,0.0,-0.9815033078193665
Target,1766009169006,0.0,0.0,-2.3050808906555176,0.0,0.0,0.0037928251549601555,-0.04050016030669212,0.0,0.0,-0.9991795420646667
Chaser,1766009169105,0.0,0.0,-1.437225103378296,0.0,0.0,-0.2952432632446289,0.19171805679798126,0.0,0.0,-0.981450080871582
Target,1766009169105,0.0,0.0,-2.304985284805298,0.0,0.0,0.004130510613322258,-0.03707199543714523,0.0,0.0,-0.9993126392364502
Chaser,1766009169180,0.0,0.0,-1.4443331956863403,0.0,0.0,-0.2970865070819855,0.1919654756784439,0.0,0.0,-0.9814017415046692
Target,1766009169180,0.0,0.0,-2.304884433746338,0.0,0.0,0.004259123466908932,-0.033101316541433334,0.0,0.0,-0.9994519948959351
Chaser,1766009169264,0.0,0.0,-1.455978512763977,0.0,0.0,-0.3000924289226532,0.19231954216957092,0.0,0.0,-0.9813324213027954
Target,1766009169264,0.0,0.0,-2.304718017578125,0.0,0.0,0.004211490973830223,-0.025618968531489372,0.0,0.0,-0.9996718168258667
Chaser,1766009169345,0.0,0.0,-1.4677401781082153,0.0,0.0,-0.30304253101348877,0.1926218718290329,0.0,0.0,-0.9812731146812439
Target,1766009169345,0.0,0.0,-2.3045573234558105,0.0,0.0,0.004003666341304779,-0.017024105414748192,0.0,0.0,-0.999855101108551
Chaser,1766009169407,0.0,0.0,-1.477781057357788,0.0,0.0,-0.3054673373699188,0.19284293055534363,0.0,0.0,-0.9812296628952026
Target,1766009169407,0.0,0.0,-2.304428815841675,0.0,0.0,0.0037754361983388662,-0.00900354329496622,0.0,0.0,-0.9999594688415527
Chaser,1766009169477,0.0,0.0,-1.4906740188598633,0.0,0.0,-0.3084443211555481,0.19308479130268097,0.0,0.0,-0.9811820983886719
Target,1766009169477,0.0,0.0,-2.304276704788208,0.0,0.0,0.003463736968114972,0.002054492011666298,0.0,0.0,-0.9999979138374329
Chaser,1766009169535,0.0,0.0,-1.5027556419372559,0.0,0.0,-0.31109553575515747,0.19327537715435028,0.0,0.0,-0.9811445474624634
Target,1766009169535,0.0,0.0,-2.304147481918335,0.0,0.0,0.003176360158249736,0.013052916154265404,0.0,0.0,-0.999914824962616
Chaser,1766009169597,0.0,0.0,-1.513998031616211,0.0,0.0,-0.31344693899154663,0.1934264600276947,0.0,0.0,-0.9811148047447205
Target,1766009169597,0.0,0.0,-2.3040378093719482,0.0,0.0,0.002922403160482645,0.023736800998449326,0.0,0.0,-0.9997182488441467
Chaser,1766009169654,0.0,0.0,-1.5272188186645508,0.0,0.0,-0.31607675552368164,0.19357702136039734,0.0,0.0,-0.9810851216316223
Target,1766009169654,0.0,0.0,-2.3039209842681885,0.0,0.0,0.0026444413233548403,0.03674980625510216,0.0,0.0,-0.9993245005607605
Chaser,1766009169716,0.0,0.0,-1.5405476093292236,0.0,0.0,-0.3185887336730957,0.1937040537595749,0.0,0.0,-0.9810600876808167
Target,1766009169716,0.0,0.0,-2.3038153648376465,0.0,0.0,0.0023875872138887644,0.050262052565813065,0.0,0.0,-0.9987360835075378
Chaser,1766009169781,0.0,0.0,-1.5549426078796387,0.0,0.0,-0.32115525007247925,0.19381818175315857,0.0,0.0,-0.9810374975204468
Target,1766009169781,0.0,0.0,-2.303713798522949,0.0,0.0,0.0021355929784476757,0.06520015746355057,0.0,0.0,-0.9978722333908081
Chaser,1766009169840,0.0,0.0,-1.5684798955917358,0.0,0.0,-0.32343897223472595,0.19390752911567688,0.0,0.0,-0.9810198545455933
Target,1766009169840,0.0,0.0,-2.30362868309021,0.0,0.0,0.0019210026366636157,0.07949825376272202,0.0,0.0,-0.9968349933624268
Chaser,1766009169904,0.0,0.0,-1.5821110010147095,0.0,0.0,-0.3256199061870575,0.19398286938667297,0.0,0.0,-0.9810049533843994
Target,1766009169904,0.0,0.0,-2.3035521507263184,0.0,0.0,0.0017249125521630049,0.09407893568277359,0.0,0.0,-0.9955647587776184
Chaser,1766009169966,0.0,0.0,-1.5977987051010132,0.0,0.0,-0.3279925584793091,0.19405467808246613,0.0,0.0,-0.9809907078742981
Target,1766009169966,0.0,0.0,-2.3034543991088867,0.0,0.0,0.002719940384849906,0.11053335666656494,0.0,0.0,-0.9938724637031555
